,rt_total,delay,perceivedTime,pTemporalErrorMs,pTemporalError,delayS,physicalDelay,physicalDelayMs,target.started,distractor.started,participant,congruency,expectation,isTrial,participant,stim_color,responsePointer.started,responsePointer.stopped,responseStarted,responseStarted
0,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
1,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
2,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
3,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
4,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
5,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
6,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
7,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
8,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
9,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
10,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
11,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
12,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
13,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
14,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
15,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
16,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
17,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
18,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
19,,,,,,,,,,,erva80G,,,fam,erva80G,,,,,
20,1.9181729,,1.2624,79.07639999999994,0.07907639999999994,,,,1.1833236,,erva80G,,,test,erva80G,,2.28331,4.2014829,2.2833137,2.2833137
21,1.7509998000000002,,0.7106,227.71600000000004,0.22771600000000003,,,,0.482884,,erva80G,,,test,erva80G,,2.28368,4.0346798,2.2836766,2.2836766
22,3.8511939,,0.87961,13.312400000000002,0.013312400000000002,,,,0.8662976,,erva80G,,,test,erva80G,,2.28416,6.1353539,2.4206357,2.4206357
23,1.2334796,,1.04639,145.28629999999998,0.14528629999999998,,,,0.9011037,,erva80G,,,test,erva80G,,2.28478,3.5182596,2.284776,2.284776
24,2.5336352000000004,,0.93661,69.86800000000004,0.06986800000000004,,,,0.866742,,erva80G,,,test,erva80G,,2.28422,4.8178552,2.2842211,2.2842211
25,2.6344517,,1.75158,151.22119999999995,0.15122119999999994,,,,1.6003588,,erva80G,,,test,erva80G,,2.28363,4.9180817,2.2836349,2.2836349
26,2.5015804,,1.83814,70.51190000000007,0.07051190000000007,,,,1.7676281,,erva80G,,,test,erva80G,,2.28343,4.7850104,2.684191,2.684191
27,1.4339584999999997,,1.54059,-93.13650000000018,-0.09313650000000018,,,,1.6337265,,erva80G,,,test,erva80G,,2.28426,3.7182185,2.2842645,2.2842645
28,1.7010364999999998,,0.71797,-49.071300000000036,-0.04907130000000004,,,,0.7670413,,erva80G,,,test,erva80G,,2.28396,3.9849965,2.2839638,2.2839638
29,1.5676797000000002,,0.76857,85.61399999999996,0.08561399999999997,,,,0.682956,,erva80G,,,test,erva80G,,2.28307,3.8507497,2.2830698,2.2830698
30,1.5843741000000002,,1.55775,-159.40460000000002,-0.1594046,,,,1.7171546,,erva80G,,,test,erva80G,,2.28332,3.8676941,2.283323,2.283323
31,1.6844119000000002,,1.18186,81.71309999999998,0.08171309999999998,,,,1.1001469,,erva80G,,,test,erva80G,,2.28326,3.9676719,2.2832627,2.2832627
32,1.7004991999999999,,0.40514,-62.11549999999999,-0.06211549999999999,,,,0.4672555,,erva80G,,,test,erva80G,,2.28384,3.9843392,2.2838447,2.2838447
33,1.9675151,,0.3612,-5.789500000000003,-0.005789500000000003,,,,0.3669895,,erva80G,,,test,erva80G,,2.28428,4.2517951,2.2842787,2.2842787
34,1.73447,,0.79183,-208.6809999999999,-0.2086809999999999,,,,1.000511,,erva80G,,,test,erva80G,,2.28383,4.0183,2.2838284,2.2838284
35,1.3672708,,1.64415,-106.71509999999995,-0.10671509999999995,,,,1.7508651,,erva80G,,,test,erva80G,,2.28354,3.6508108,2.283541,2.283541
36,1.8341725000000002,,0.33012,46.349600000000045,0.046349600000000046,,,,0.2837704,,erva80G,,,test,erva80G,,2.28423,4.1184025,2.2842307,2.2842307
37,1.3837395,,0.63945,56.405499999999996,0.0564055,,,,0.5830445,,erva80G,,,test,erva80G,,2.28331,3.6670495,2.2833061,2.2833061
38,1.8503526,,0.33395,-66.49959999999999,-0.06649959999999999,,,,0.4004496,,erva80G,,,test,erva80G,,2.28428,4.1346326,2.6340922,2.6340922
39,4.035063699999999,,0.12208,-44.45309999999999,-0.044453099999999995,,,,0.1665331,,erva80G,,,test,erva80G,,2.28406,6.3191237,2.2840606,2.2840606
40,2.0509135,,0.48935,-126.97209999999998,-0.12697209999999998,,,,0.6163221,,erva80G,,,test,erva80G,,2.28397,4.3348835,2.2839682,2.2839682
41,1.2835431000000002,,1.48986,-77.60250000000002,-0.07760250000000002,,,,1.5674625,,erva80G,,,test,erva80G,,2.28489,3.5684331,2.2848929,2.2848929
42,1.0837229000000002,,0.72959,-136.76510000000007,-0.13676510000000008,,,,0.8663551,,erva80G,,,test,erva80G,,2.28373,3.3674529,2.2837274,2.2837274
43,1.6681835,,0.72629,76.20139999999998,0.07620139999999997,,,,0.6500886,,erva80G,,,test,erva80G,,2.28324,3.9514235,2.2832354,2.2832354
44,1.3846105,,1.19798,231.06510000000003,0.23106510000000002,,,,0.9669149,,erva80G,,,test,erva80G,,2.28337,3.6679805,2.6003552,2.6003552
45,1.6170871,,0.21545,-151.9015,-0.1519015,,,,0.3673515,,erva80G,,,test,erva80G,,2.28448,3.9015671,2.2844819,2.2844819
46,1.2007159,,0.72256,138.67039999999997,0.13867039999999997,,,,0.5838896,,erva80G,,,test,erva80G,,2.28411,3.4848259,2.2841113,2.2841113
