,delay,expectation,congruency,stim_color,distractor_color,targetTimeMs
0,100,0.5,none,red,green,1182.8307647028616
1,100,0.5,none,green,red,1735.0145249048023
2,233,0.5,none,red,green,1309.689271290259
3,300,0.5,none,green,red,200.18601090119637
4,167,0.5,none,red,green,1550.6494414930996
5,-233,0.5,none,green,red,840.9590070116465
6,-167,0.5,none,red,green,1408.6292404168917
7,-167,0.5,none,green,red,1432.0363267501416
8,-100,0.5,none,red,green,1355.84788395553
9,233,0.5,none,green,red,1276.3306549441384
10,300,0.5,none,red,green,1025.629287709512
11,33,0.5,none,green,red,1171.5375932426255
12,-233,0.5,none,red,green,1142.7095599533445
13,-167,0.5,none,green,red,896.5398744401234
14,-300,0.5,none,red,green,1358.2655178870825
15,-300,0.5,none,green,red,1070.762907457559
16,-233,0.5,none,red,green,1778.503753748246
17,100,0.5,none,green,red,1685.9527090358147
18,33,0.5,none,red,green,1069.4665916551064
19,-167,0.5,none,green,red,902.7371558591313
20,233,0.5,none,red,green,445.80871088747404
21,-300,0.5,none,green,red,453.48314881326445
22,167,0.5,none,red,green,1138.1309364505125
23,100,0.5,none,green,red,236.6195627494898
24,33,0.5,none,red,green,189.18787480501814
25,100,0.5,none,green,red,775.5676595160462
26,-167,0.5,none,red,green,1321.2011827637543
27,-33,0.5,none,green,red,530.1720995776218
28,-167,0.5,none,red,green,366.55711305249747
29,-33,0.5,none,green,red,199.3764937912792
30,-233,0.5,none,red,green,800.2475708031768
31,-233,0.5,none,green,red,743.5994025027173
32,-100,0.5,none,red,green,954.7471807088655
33,100,0.5,none,green,red,286.5731772205564
34,-300,0.5,none,red,green,1289.0781138253783
35,-167,0.5,none,green,red,1094.8003358244857
36,233,0.5,none,red,green,1055.9944500399497
37,-300,0.5,none,green,red,895.6532193783589
38,233,0.5,none,red,green,494.84472936863784
39,233,0.5,none,green,red,627.9379733365844
40,-33,0.5,none,red,green,754.5816614941027
41,167,0.5,none,green,red,1259.6607809347286
42,-100,0.5,none,red,green,581.3539796878179
43,-100,0.5,none,green,red,916.3663673235078
44,-33,0.5,none,red,green,932.7860388342152
45,-33,0.5,none,green,red,1791.451447987852
46,233,0.5,none,red,green,1082.6655444746757
47,167,0.5,none,green,red,240.8348377812938
48,-33,0.5,none,red,green,361.401455270725
49,-100,0.5,none,green,red,1217.2101743881813
50,167,0.5,none,red,green,501.94529324766467
51,300,0.5,none,green,red,332.73284848752746
52,33,0.5,none,red,green,241.0676692671824
53,-233,0.5,none,green,red,540.2354931134145
54,-167,0.5,none,red,green,1127.8781161341244
55,-300,0.5,none,green,red,723.6034853657254
56,33,0.5,none,red,green,1036.8704056493978
57,167,0.5,none,green,red,1150.6717406571165
58,33,0.5,none,red,green,1240.0542488040312
59,33,0.5,none,green,red,1140.6968232094296
60,-33,0.5,none,red,green,576.8734801255061
61,-33,0.5,none,green,red,1551.8491921073576
62,33,0.5,none,red,green,620.8749207023308
63,-33,0.5,none,green,red,1451.7247895572486
64,100,0.5,none,red,green,1680.6362258149536
65,33,0.5,none,green,red,394.63690021850425
66,100,0.5,none,red,green,1273.4507679821947
67,-300,0.5,none,green,red,499.89076650769437
68,33,0.5,none,red,green,413.2964490247975
69,-300,0.5,none,green,red,611.0838868700993
70,-300,0.5,none,red,green,535.1099122472469
71,100,0.5,none,green,red,264.11532414587157
72,33,0.5,none,red,green,546.2356448396038
73,-300,0.5,none,green,red,608.2642701428937
74,-300,0.5,none,red,green,893.7552824512234
75,33,0.5,none,green,red,892.5158367927974
76,300,0.5,none,red,green,1367.0944565883892
77,100,0.5,none,green,red,1219.2162356969845
78,167,0.5,none,red,green,958.8914020690879
79,-33,0.5,none,green,red,796.0547161147775
80,100,0.5,none,red,green,1200.201737373202
81,233,0.5,none,green,red,702.5918427618411
82,-100,0.5,none,red,green,1090.6581827144028
83,-233,0.5,none,green,red,1540.4309737727967
84,-33,0.5,none,red,green,1183.0163790324386
85,300,0.5,none,green,red,864.4476833527744
86,-167,0.5,none,red,green,1095.0368082072641
87,-167,0.5,none,green,red,1442.649894744843
88,167,0.5,none,red,green,963.98668149932
89,300,0.5,none,green,red,1494.2085016799167
90,167,0.5,none,red,green,335.84807250211554
91,33,0.5,none,green,red,1298.832004691251
92,-233,0.5,none,red,green,1311.0962474371745
93,233,0.5,none,green,red,375.9497052594591
94,-33,0.5,none,red,green,1291.8869236311114
95,-233,0.5,none,green,red,876.9912217733349
96,300,0.5,none,red,green,945.3283293127234
