,delay,expectation,congruency,stim_color,distractor_color
0,300,0.4,unmet,green,red
1,-233,0.4,unmet,green,red
2,-100,0.6,met,red,green
3,-33,0.4,unmet,green,red
4,300,0.4,unmet,green,red
5,33,0.4,unmet,green,red
6,-233,0.4,unmet,green,red
7,233,0.4,unmet,green,red
8,233,0.4,unmet,green,red
9,233,0.6,met,red,green
10,-167,0.6,met,red,green
11,-300,0.4,unmet,green,red
12,-100,0.4,unmet,green,red
13,233,0.6,met,red,green
14,167,0.4,unmet,green,red
15,100,0.6,met,red,green
16,100,0.4,unmet,green,red
17,-233,0.4,unmet,green,red
18,-167,0.4,unmet,green,red
19,-100,0.4,unmet,green,red
20,-167,0.6,met,red,green
21,33,0.4,unmet,green,red
22,167,0.6,met,red,green
23,-33,0.4,unmet,green,red
24,33,0.4,unmet,green,red
25,-100,0.6,met,red,green
26,-33,0.6,met,red,green
27,233,0.6,met,red,green
28,-33,0.6,met,red,green
29,-33,0.4,unmet,green,red
30,100,0.4,unmet,green,red
31,-33,0.4,unmet,green,red
32,300,0.4,unmet,green,red
33,-167,0.4,unmet,green,red
34,167,0.6,met,red,green
35,-300,0.4,unmet,green,red
36,167,0.6,met,red,green
37,100,0.6,met,red,green
38,300,0.6,met,red,green
39,233,0.4,unmet,green,red
40,100,0.4,unmet,green,red
41,300,0.6,met,red,green
42,-100,0.6,met,red,green
43,300,0.6,met,red,green
44,-233,0.4,unmet,green,red
45,100,0.4,unmet,green,red
46,-33,0.6,met,red,green
47,-33,0.6,met,red,green
48,300,0.6,met,red,green
49,33,0.6,met,red,green
50,-233,0.6,met,red,green
51,100,0.6,met,red,green
52,-33,0.6,met,red,green
53,-100,0.6,met,red,green
54,-300,0.4,unmet,green,red
55,-33,0.4,unmet,green,red
56,300,0.6,met,red,green
57,233,0.4,unmet,green,red
58,300,0.6,met,red,green
59,33,0.6,met,red,green
60,300,0.6,met,red,green
61,-100,0.4,unmet,green,red
62,233,0.6,met,red,green
63,-33,0.6,met,red,green
64,-100,0.6,met,red,green
65,-100,0.6,met,red,green
66,-300,0.4,unmet,green,red
67,-100,0.6,met,red,green
68,233,0.6,met,red,green
69,-233,0.6,met,red,green
70,-100,0.4,unmet,green,red
71,100,0.6,met,red,green
72,-233,0.6,met,red,green
73,-233,0.4,unmet,green,red
74,-167,0.4,unmet,green,red
75,-300,0.4,unmet,green,red
76,-167,0.6,met,red,green
77,-167,0.6,met,red,green
78,233,0.6,met,red,green
79,100,0.4,unmet,green,red
80,-300,0.4,unmet,green,red
81,300,0.6,met,red,green
82,-33,0.6,met,red,green
83,300,0.6,met,red,green
84,-233,0.4,unmet,green,red
85,233,0.6,met,red,green
86,-167,0.4,unmet,green,red
87,-300,0.6,met,red,green
88,233,0.4,unmet,green,red
89,-167,0.6,met,red,green
90,-300,0.6,met,red,green
91,233,0.4,unmet,green,red
92,300,0.6,met,red,green
93,33,0.6,met,red,green
94,167,0.4,unmet,green,red
95,33,0.6,met,red,green
96,-300,0.6,met,red,green
97,167,0.4,unmet,green,red
98,167,0.6,met,red,green
99,167,0.4,unmet,green,red
100,-167,0.4,unmet,green,red
101,-233,0.4,unmet,green,red
102,100,0.6,met,red,green
103,-233,0.6,met,red,green
104,100,0.4,unmet,green,red
105,33,0.6,met,red,green
106,33,0.6,met,red,green
107,167,0.4,unmet,green,red
108,233,0.6,met,red,green
109,233,0.6,met,red,green
110,300,0.6,met,red,green
111,167,0.6,met,red,green
112,33,0.4,unmet,green,red
113,300,0.6,met,red,green
114,-167,0.6,met,red,green
115,-300,0.4,unmet,green,red
116,167,0.6,met,red,green
117,-233,0.4,unmet,green,red
118,233,0.6,met,red,green
119,233,0.6,met,red,green
120,-100,0.6,met,red,green
121,33,0.6,met,red,green
122,300,0.6,met,red,green
123,233,0.4,unmet,green,red
124,100,0.4,unmet,green,red
125,100,0.4,unmet,green,red
126,33,0.6,met,red,green
127,-33,0.4,unmet,green,red
128,300,0.6,met,red,green
129,-300,0.6,met,red,green
130,-100,0.4,unmet,green,red
131,300,0.6,met,red,green
132,-100,0.4,unmet,green,red
133,-233,0.4,unmet,green,red
134,-33,0.6,met,red,green
135,100,0.6,met,red,green
136,33,0.6,met,red,green
137,233,0.6,met,red,green
138,100,0.6,met,red,green
139,100,0.4,unmet,green,red
140,-33,0.4,unmet,green,red
141,-167,0.6,met,red,green
142,-33,0.6,met,red,green
143,-233,0.6,met,red,green
144,300,0.6,met,red,green
145,167,0.4,unmet,green,red
146,33,0.6,met,red,green
147,33,0.4,unmet,green,red
148,33,0.4,unmet,green,red
149,-300,0.4,unmet,green,red
150,-100,0.4,unmet,green,red
151,-100,0.6,met,red,green
152,-100,0.6,met,red,green
153,33,0.4,unmet,green,red
154,-33,0.6,met,red,green
155,-233,0.4,unmet,green,red
156,-300,0.4,unmet,green,red
157,-167,0.4,unmet,green,red
158,-167,0.6,met,red,green
159,-233,0.6,met,red,green
160,33,0.6,met,red,green
161,300,0.4,unmet,green,red
162,100,0.6,met,red,green
163,33,0.6,met,red,green
164,-100,0.6,met,red,green
165,-300,0.4,unmet,green,red
166,-300,0.4,unmet,green,red
167,-33,0.6,met,red,green
168,100,0.6,met,red,green
169,33,0.6,met,red,green
170,300,0.4,unmet,green,red
171,300,0.6,met,red,green
172,300,0.4,unmet,green,red
173,-33,0.4,unmet,green,red
174,167,0.4,unmet,green,red
175,-167,0.4,unmet,green,red
176,-167,0.4,unmet,green,red
177,-100,0.4,unmet,green,red
178,-167,0.6,met,red,green
179,167,0.4,unmet,green,red
180,167,0.4,unmet,green,red
181,-167,0.6,met,red,green
182,300,0.4,unmet,green,red
183,233,0.6,met,red,green
184,233,0.4,unmet,green,red
185,-33,0.6,met,red,green
186,-300,0.6,met,red,green
187,167,0.4,unmet,green,red
188,-167,0.4,unmet,green,red
189,-33,0.6,met,red,green
190,300,0.6,met,red,green
191,-100,0.6,met,red,green
192,300,0.6,met,red,green
193,233,0.6,met,red,green
194,167,0.6,met,red,green
195,-167,0.4,unmet,green,red
196,-167,0.6,met,red,green
197,167,0.4,unmet,green,red
198,-167,0.4,unmet,green,red
199,-233,0.4,unmet,green,red
200,-100,0.6,met,red,green
201,-300,0.6,met,red,green
202,233,0.6,met,red,green
203,-100,0.6,met,red,green
204,233,0.4,unmet,green,red
205,100,0.6,met,red,green
206,-300,0.4,unmet,green,red
207,233,0.6,met,red,green
208,-233,0.4,unmet,green,red
209,33,0.6,met,red,green
210,33,0.4,unmet,green,red
211,300,0.6,met,red,green
212,-233,0.6,met,red,green
213,167,0.6,met,red,green
214,100,0.6,met,red,green
215,167,0.4,unmet,green,red
216,-233,0.4,unmet,green,red
217,-300,0.4,unmet,green,red
218,100,0.6,met,red,green
219,167,0.6,met,red,green
220,-233,0.6,met,red,green
221,-100,0.6,met,red,green
222,167,0.6,met,red,green
223,-167,0.4,unmet,green,red
224,-167,0.4,unmet,green,red
225,167,0.6,met,red,green
226,233,0.4,unmet,green,red
227,-100,0.4,unmet,green,red
228,-300,0.4,unmet,green,red
229,-233,0.6,met,red,green
230,-100,0.6,met,red,green
231,-100,0.6,met,red,green
232,300,0.4,unmet,green,red
233,167,0.6,met,red,green
234,-300,0.6,met,red,green
235,-100,0.4,unmet,green,red
236,233,0.6,met,red,green
237,-167,0.6,met,red,green
238,233,0.6,met,red,green
239,100,0.6,met,red,green
240,100,0.6,met,red,green
241,-33,0.4,unmet,green,red
242,100,0.4,unmet,green,red
243,100,0.6,met,red,green
244,-300,0.6,met,red,green
245,233,0.6,met,red,green
246,167,0.4,unmet,green,red
247,-167,0.6,met,red,green
248,-33,0.6,met,red,green
249,33,0.6,met,red,green
250,-100,0.6,met,red,green
251,-167,0.6,met,red,green
252,-233,0.4,unmet,green,red
253,-167,0.6,met,red,green
254,167,0.6,met,red,green
255,233,0.4,unmet,green,red
256,-33,0.6,met,red,green
257,233,0.4,unmet,green,red
258,300,0.6,met,red,green
259,233,0.4,unmet,green,red
260,-33,0.6,met,red,green
261,-33,0.6,met,red,green
262,-167,0.6,met,red,green
263,300,0.6,met,red,green
264,-233,0.4,unmet,green,red
265,-233,0.4,unmet,green,red
266,33,0.6,met,red,green
267,-33,0.6,met,red,green
268,167,0.6,met,red,green
269,-233,0.6,met,red,green
270,-300,0.6,met,red,green
271,-233,0.6,met,red,green
272,-300,0.4,unmet,green,red
273,33,0.4,unmet,green,red
274,-100,0.4,unmet,green,red
275,-300,0.4,unmet,green,red
276,-33,0.4,unmet,green,red
277,33,0.4,unmet,green,red
278,300,0.6,met,red,green
279,100,0.4,unmet,green,red
280,-167,0.4,unmet,green,red
281,100,0.6,met,red,green
282,-300,0.6,met,red,green
283,300,0.6,met,red,green
284,233,0.6,met,red,green
285,-100,0.6,met,red,green
286,100,0.4,unmet,green,red
287,-233,0.4,unmet,green,red
288,-300,0.4,unmet,green,red
289,233,0.6,met,red,green
290,-167,0.6,met,red,green
291,-167,0.4,unmet,green,red
292,100,0.6,met,red,green
293,-167,0.6,met,red,green
294,-233,0.6,met,red,green
295,-100,0.4,unmet,green,red
296,33,0.6,met,red,green
297,-167,0.6,met,red,green
298,-33,0.6,met,red,green
299,-100,0.6,met,red,green
300,167,0.6,met,red,green
301,-33,0.6,met,red,green
302,233,0.6,met,red,green
303,167,0.6,met,red,green
304,-167,0.6,met,red,green
305,233,0.4,unmet,green,red
306,-167,0.4,unmet,green,red
307,-233,0.4,unmet,green,red
308,-167,0.4,unmet,green,red
309,-300,0.6,met,red,green
310,-233,0.4,unmet,green,red
311,100,0.4,unmet,green,red
312,300,0.6,met,red,green
313,233,0.4,unmet,green,red
314,-300,0.6,met,red,green
315,-33,0.6,met,red,green
316,100,0.4,unmet,green,red
317,-100,0.6,met,red,green
318,33,0.4,unmet,green,red
319,-233,0.4,unmet,green,red
320,167,0.4,unmet,green,red
321,233,0.6,met,red,green
322,167,0.6,met,red,green
323,-100,0.4,unmet,green,red
324,-233,0.4,unmet,green,red
325,-33,0.6,met,red,green
326,-33,0.6,met,red,green
327,-233,0.6,met,red,green
328,-33,0.4,unmet,green,red
329,167,0.4,unmet,green,red
330,100,0.6,met,red,green
331,-33,0.4,unmet,green,red
332,233,0.4,unmet,green,red
333,-167,0.4,unmet,green,red
334,167,0.6,met,red,green
335,-33,0.6,met,red,green
336,-100,0.4,unmet,green,red
337,167,0.4,unmet,green,red
338,-100,0.4,unmet,green,red
339,33,0.6,met,red,green
