,delay,expectation,congruency,stim_color,distractor_color,targetTimeMs
0,33,0.8,met,red,green,341.9780433687534
1,167,0.8,met,red,green,1209.1557447120645
2,-233,0.8,met,red,green,1309.6347418841096
3,-233,0.19999999999999996,unmet,green,red,1247.187415757788
4,-33,0.8,met,red,green,1245.8750942619317
5,33,0.8,met,red,green,882.8398949493399
6,33,0.8,met,red,green,1317.9190599167569
7,33,0.8,met,red,green,1285.5671483402016
8,33,0.8,met,red,green,886.4747297849287
9,-300,0.8,met,red,green,887.8543938680793
10,233,0.8,met,red,green,302.307009543869
11,100,0.19999999999999996,unmet,green,red,437.6244259077435
12,300,0.19999999999999996,unmet,green,red,1143.621251193435
13,-300,0.8,met,red,green,1470.7470073332547
14,233,0.8,met,red,green,1073.331262731971
15,-100,0.8,met,red,green,1489.8014334926802
16,300,0.8,met,red,green,836.6505771927284
17,100,0.19999999999999996,unmet,green,red,634.7861303484563
18,-33,0.19999999999999996,unmet,green,red,1477.4336047305615
19,233,0.8,met,red,green,815.752518211879
20,100,0.8,met,red,green,1504.2999850213102
21,33,0.19999999999999996,unmet,green,red,174.11045911708376
22,-233,0.8,met,red,green,975.5006702397834
23,-100,0.8,met,red,green,776.2123425595144
24,-300,0.8,met,red,green,1534.200831937789
25,300,0.8,met,red,green,1386.877953483229
26,-233,0.8,met,red,green,1373.4383425201154
27,33,0.8,met,red,green,1493.9785398107404
28,-300,0.8,met,red,green,490.3571157144173
29,233,0.19999999999999996,unmet,green,red,211.44718041686934
30,-100,0.8,met,red,green,1830.2812411377877
31,-100,0.8,met,red,green,1785.0694796726866
32,-100,0.8,met,red,green,796.8624954067648
33,33,0.8,met,red,green,1723.220880181316
34,300,0.19999999999999996,unmet,green,red,661.0617599896802
35,100,0.8,met,red,green,1486.0005479438278
36,-33,0.8,met,red,green,1757.60449203438
37,-233,0.8,met,red,green,1220.7071344256733
38,100,0.19999999999999996,unmet,green,red,898.9794935004026
39,167,0.8,met,red,green,1501.9227730980208
40,100,0.19999999999999996,unmet,green,red,723.8205016030352
41,-300,0.8,met,red,green,1049.8637698198258
42,167,0.19999999999999996,unmet,green,red,209.47668803540213
43,100,0.8,met,red,green,1022.9212464111644
44,-233,0.19999999999999996,unmet,green,red,665.2180643546983
45,233,0.8,met,red,green,485.57406876938245
46,300,0.19999999999999996,unmet,green,red,704.5878538785211
47,-100,0.19999999999999996,unmet,green,red,1760.20072790866
48,233,0.19999999999999996,unmet,green,red,738.4881272324988
49,100,0.8,met,red,green,479.13184517934474
50,233,0.8,met,red,green,862.5331050045104
51,-100,0.19999999999999996,unmet,green,red,1533.5639972836366
52,-300,0.8,met,red,green,1601.5178059759608
53,-167,0.8,met,red,green,598.7900262104738
54,300,0.8,met,red,green,894.8366275501699
55,100,0.8,met,red,green,1329.0381872736552
56,33,0.8,met,red,green,1030.25718503073
57,-233,0.8,met,red,green,979.6893559262772
58,-100,0.8,met,red,green,1269.6160060228299
59,300,0.8,met,red,green,1169.7738290837715
60,-167,0.8,met,red,green,1457.8633097827549
61,-33,0.19999999999999996,unmet,green,red,1204.150646377276
62,-167,0.19999999999999996,unmet,green,red,1668.9439936122224
63,-167,0.19999999999999996,unmet,green,red,466.0289331282945
64,100,0.8,met,red,green,1504.8718834545903
65,-300,0.8,met,red,green,1783.9497202480075
66,233,0.8,met,red,green,787.9598027432548
67,-100,0.8,met,red,green,1301.2741153739055
68,167,0.8,met,red,green,755.3239744411585
69,100,0.19999999999999996,unmet,green,red,780.5651204291607
70,33,0.8,met,red,green,719.4331251408627
71,33,0.19999999999999996,unmet,green,red,1587.9471415521505
72,-300,0.8,met,red,green,559.7833199980239
73,233,0.8,met,red,green,741.0521532926391
74,300,0.8,met,red,green,1045.0027665376963
75,-33,0.19999999999999996,unmet,green,red,960.8745039071255
