,delay,expectation,congruency,stim_color,distractor_color
0,100,0.65,met,red,green
1,33,0.65,met,red,green
2,300,0.35,unmet,green,red
3,100,0.35,unmet,green,red
4,300,0.35,unmet,green,red
5,-33,0.35,unmet,green,red
6,-33,0.35,unmet,green,red
7,233,0.65,met,red,green
8,-100,0.65,met,red,green
9,233,0.65,met,red,green
10,300,0.65,met,red,green
11,33,0.65,met,red,green
12,167,0.65,met,red,green
13,-300,0.35,unmet,green,red
14,-167,0.35,unmet,green,red
15,-100,0.35,unmet,green,red
16,167,0.65,met,red,green
17,167,0.65,met,red,green
18,300,0.35,unmet,green,red
19,33,0.65,met,red,green
20,233,0.65,met,red,green
21,-100,0.35,unmet,green,red
22,33,0.65,met,red,green
23,233,0.65,met,red,green
24,300,0.65,met,red,green
25,-33,0.35,unmet,green,red
26,233,0.65,met,red,green
27,33,0.65,met,red,green
28,-33,0.35,unmet,green,red
29,167,0.65,met,red,green
30,100,0.65,met,red,green
31,-300,0.65,met,red,green
32,300,0.65,met,red,green
33,300,0.65,met,red,green
34,100,0.65,met,red,green
35,-33,0.35,unmet,green,red
36,-300,0.35,unmet,green,red
37,-300,0.65,met,red,green
38,-300,0.65,met,red,green
39,300,0.65,met,red,green
40,-233,0.65,met,red,green
41,-100,0.65,met,red,green
42,300,0.65,met,red,green
43,233,0.35,unmet,green,red
44,100,0.65,met,red,green
45,-33,0.65,met,red,green
46,-33,0.35,unmet,green,red
47,-233,0.35,unmet,green,red
48,-167,0.65,met,red,green
49,-233,0.35,unmet,green,red
50,300,0.65,met,red,green
51,-300,0.65,met,red,green
52,-233,0.35,unmet,green,red
53,100,0.65,met,red,green
54,-300,0.35,unmet,green,red
55,233,0.35,unmet,green,red
56,300,0.35,unmet,green,red
57,167,0.65,met,red,green
58,-167,0.65,met,red,green
59,-233,0.65,met,red,green
60,-100,0.35,unmet,green,red
61,-167,0.65,met,red,green
62,-100,0.65,met,red,green
63,233,0.65,met,red,green
64,-300,0.65,met,red,green
65,-300,0.65,met,red,green
66,33,0.35,unmet,green,red
67,-100,0.65,met,red,green
68,-300,0.35,unmet,green,red
69,-33,0.35,unmet,green,red
70,-33,0.65,met,red,green
71,-300,0.65,met,red,green
72,33,0.65,met,red,green
73,-167,0.35,unmet,green,red
74,-33,0.35,unmet,green,red
75,-300,0.65,met,red,green
76,-233,0.65,met,red,green
77,300,0.35,unmet,green,red
78,-300,0.65,met,red,green
79,167,0.65,met,red,green
80,-167,0.65,met,red,green
81,-167,0.35,unmet,green,red
82,-300,0.65,met,red,green
83,-233,0.65,met,red,green
84,233,0.65,met,red,green
85,-167,0.35,unmet,green,red
86,-233,0.65,met,red,green
87,167,0.65,met,red,green
88,-167,0.65,met,red,green
89,167,0.65,met,red,green
90,-167,0.35,unmet,green,red
91,-233,0.65,met,red,green
92,167,0.65,met,red,green
93,100,0.65,met,red,green
94,-300,0.35,unmet,green,red
95,33,0.65,met,red,green
96,-167,0.65,met,red,green
97,-167,0.65,met,red,green
98,-300,0.35,unmet,green,red
99,-233,0.65,met,red,green
100,-100,0.65,met,red,green
101,-167,0.65,met,red,green
102,167,0.35,unmet,green,red
103,167,0.65,met,red,green
104,300,0.65,met,red,green
105,-167,0.65,met,red,green
106,-167,0.65,met,red,green
107,-300,0.65,met,red,green
108,-100,0.65,met,red,green
109,33,0.35,unmet,green,red
110,-233,0.65,met,red,green
111,100,0.65,met,red,green
112,-233,0.65,met,red,green
113,100,0.65,met,red,green
114,-33,0.65,met,red,green
115,-33,0.65,met,red,green
116,-167,0.65,met,red,green
117,-167,0.65,met,red,green
118,-167,0.65,met,red,green
119,-233,0.35,unmet,green,red
120,100,0.65,met,red,green
121,100,0.65,met,red,green
122,-33,0.65,met,red,green
123,100,0.65,met,red,green
124,-167,0.65,met,red,green
125,233,0.65,met,red,green
126,-167,0.65,met,red,green
127,-33,0.65,met,red,green
128,300,0.65,met,red,green
129,33,0.35,unmet,green,red
130,300,0.65,met,red,green
131,-300,0.65,met,red,green
132,233,0.65,met,red,green
133,100,0.65,met,red,green
134,-33,0.65,met,red,green
135,-167,0.65,met,red,green
136,33,0.65,met,red,green
137,-167,0.65,met,red,green
138,-233,0.35,unmet,green,red
139,167,0.65,met,red,green
140,100,0.35,unmet,green,red
141,-167,0.35,unmet,green,red
142,-33,0.65,met,red,green
143,-233,0.65,met,red,green
144,-233,0.65,met,red,green
145,167,0.65,met,red,green
146,33,0.65,met,red,green
147,167,0.35,unmet,green,red
148,-100,0.65,met,red,green
149,-167,0.35,unmet,green,red
150,233,0.35,unmet,green,red
151,300,0.65,met,red,green
152,167,0.65,met,red,green
153,-100,0.65,met,red,green
154,-300,0.35,unmet,green,red
